nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,consolidated_is_code_insee_modified\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPDEJZ,1080339.0,Carrefour Market - Butgenbach,Parking public,"9 Monschauer Stra\'dfe, 4750 B\'fctgenbach",31555.0,"[6.203233, 50.427648]",2,BEDRVEBDQV1,3060754.5,50.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,1SAG3200313604,2025-12-01,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,6.203233,50.427648,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPDEJZ,1080339.0,Carrefour Market - Butgenbach,Parking public,"9 Monschauer Stra\'dfe, 4750 B\'fctgenbach",31555.0,"[6.203233, 50.427648]",2,BEDRVEBDQV2,3060754.5,50.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,1SAG3200313604,2025-12-01,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,6.203233,50.427648,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPPSWX,1080339.0,Ibis Styles - Arlon,Parking public,"100 Dr\'e8ve de l'Arc-en-Ciel, 6700 Arlon",31555.0,"[5.783934, 49.676919]",6,BEDRVEDGNY1,3060754.5,300.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,0,2025-11-27,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2026-01-07,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.783934,49.676919,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPPSWX,1080339.0,Ibis Styles - Arlon,Parking public,"100 Dr\'e8ve de l'Arc-en-Ciel, 6700 Arlon",31555.0,"[5.783934, 49.676919]",6,BEDRVEDGNY2,3060754.5,300.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,0,2025-11-27,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2026-01-07,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.783934,49.676919,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPPSWX,1080339.0,Ibis Styles - Arlon,Parking public,"100 Dr\'e8ve de l'Arc-en-Ciel, 6700 Arlon",31555.0,"[5.783934, 49.676919]",6,BEDRVEDJMU1,3060754.5,300.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,0,2025-11-27,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2026-01-07,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.783934,49.676919,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPPSWX,1080339.0,Ibis Styles - Arlon,Parking public,"100 Dr\'e8ve de l'Arc-en-Ciel, 6700 Arlon",31555.0,"[5.783934, 49.676919]",6,BEDRVEDJMU2,3060754.5,300.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,0,2025-11-27,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2026-01-07,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.783934,49.676919,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPAHNX,1080339.0,Brico - Hannut,Parking public,"Rue de Landen, 4280 Hannut",31555.0,"[5.080756, 50.680109]",6,BEDRVEDKSZ1,3060754.5,200.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,5414567999991,2025-12-05,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.080756,50.680109,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPAHNX,1080339.0,Brico - Hannut,Parking public,"Rue de Landen, 4280 Hannut",31555.0,"[5.080756, 50.680109]",6,BEDRVEDKSZ2,3060754.5,200.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,5414567999991,2025-12-05,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.080756,50.680109,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPAHNX,1080339.0,Brico - Hannut,Parking public,"Rue de Landen, 4280 Hannut",31555.0,"[5.080756, 50.680109]",6,BEDRVEEFHU1,3060754.5,200.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,5414567999991,2025-12-05,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.080756,50.680109,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPAHNX,1080339.0,Brico - Hannut,Parking public,"Rue de Landen, 4280 Hannut",31555.0,"[5.080756, 50.680109]",6,BEDRVEEFHU2,3060754.5,200.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,5414567999991,2025-12-05,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.080756,50.680109,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPPSWX,1080339.0,Ibis Styles - Arlon,Parking public,"100 Dr\'e8ve de l'Arc-en-Ciel, 6700 Arlon",31555.0,"[5.783934, 49.676919]",6,BEDRVEFMTZ1,3060754.5,22.08,True,True,False,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,0,2025-11-27,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2026-01-07,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.783934,49.676919,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPPSWX,1080339.0,Ibis Styles - Arlon,Parking public,"100 Dr\'e8ve de l'Arc-en-Ciel, 6700 Arlon",31555.0,"[5.783934, 49.676919]",6,BEDRVEFMTZ2,3060754.5,22.08,False,True,False,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,0,2025-11-27,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2026-01-07,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.783934,49.676919,31670.0,Inconnu,False,False,False\
    DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPAHNX,1080339.0,Brico - Hannut,Parking public,"Rue de Landen, 4280 Hannut",31555.0,"[5.080756, 50.680109]",6,BEDRVEGTVY1,3060754.5,200.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,5414567999991,2025-12-05,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.080756,50.680109,31670.0,Inconnu,False,False,False\
DRIVECO,508886132.0,support@driveco.com,DRIVECO,support@driveco.com,Inconnu,DRIVECO,BEDRVPAHNX,1080339.0,Brico - Hannut,Parking public,"Rue de Landen, 4280 Hannut",31555.0,"[5.080756, 50.680109]",6,BEDRVEGTVY2,3060754.5,200.0,False,False,True,False,False,False,True,False,True,Inconnu,Acc\'e8s libre,True,24/7,Accessibilit\'e9 inconnue,inconnu,False,Direct,5414567999991,2025-12-05,"Telecharger l'application DRIVECO, votre copilote en electrique, sur www.driveco.com",2025-12-16,Inconnu,2026-01-09T09:32:25.707000+00:00,5fd093b73438a6a99bdf3606,27a42ffe-c629-472c-a45f-a57fbc470710,driveco,2026-01-09T09:32:25.364000+00:00,5.080756,50.680109,31670.0,Inconnu,False,False,False\
SOLVEO ENERGIES,508886132.0,bornes@solveo-energies.com,SOLVEO ENERGIES,bornes@solveo-energies.com,05 32 98 01 58,SOLVEO ENERGIES,DKMONE3785539,1080339.0,Golf de Garonne,Parking public,5 Allee Charles Gandia 31100 Toulouse,31555.0,"[1.407644, 43.628261]",8,DKMONE3785539,3060754.5,11.0,False,True,False,False,False,False,True,False,False,"0,38 \'80/kWh",Acc\'e8s libre,False,Mo-Su 08:00-19:00,Accessible mais non r\'e9serv\'e9 PMR,Sans restriction,False,Direct,50098049878221,2024-10-24,Inconnu,2024-10-24,Inconnu,2024-12-20T06:15:33.880000+00:00,6763fb30168ecaa13a086b0c,a9352425-5392-4028-b02d-fcc88b856a0e,solveo-energies,2024-12-19T10:53:36.428000+00:00,1.407644,43.628261,31670.0,Toulouse,True,True,False\
SOLVEO ENERGIES,508886132.0,bornes@solveo-energies.com,SOLVEO ENERGIES,bornes@solveo-energies.com,05 32 98 01 58,SOLVEO ENERGIES,DKMONE3785539,1080339.0,Golf de Garonne,Parking public,5 Allee Charles Gandia 31100 Toulouse,31555.0,"[1.407644, 43.628261]",8,DKMONE3785590,3060754.5,11.0,False,True,False,False,False,False,True,False,False,"0,38 \'80/kWh",Acc\'e8s libre,False,Mo-Su 08:00-19:00,Accessible mais non r\'e9serv\'e9 PMR,Sans restriction,False,Direct,50098049878221,2024-10-24,Inconnu,2024-10-24,Inconnu,2024-12-20T06:15:33.880000+00:00,6763fb30168ecaa13a086b0c,a9352425-5392-4028-b02d-fcc88b856a0e,solveo-energies,2024-12-19T10:53:36.428000+00:00,1.407644,43.628261,31670.0,Toulouse,True,True,False\
SOLVEO ENERGIES,508886132.0,bornes@solveo-energies.com,SOLVEO ENERGIES,bornes@solveo-energies.com,05 32 98 01 58,SOLVEO ENERGIES,DKMONE3785709,1080339.0,Montestruc,Parking public,Rue du 19 mars 1962 32390 Montestruc,32286.0,"[0.628264, 43.792972]",8,DKMONE3785709,3060754.5,150.0,False,False,True,False,False,False,True,True,False,"0,59 \'80/kWh",Acc\'e8s libre,False,24/7,Non accessible,Sans restriction,False,Direct,50040305517165,2024-11-28,Inconnu,2025-01-31,Inconnu,2025-02-01T06:31:42.367000+00:00,676437e9f2aa25e0cf4dcd0e,3263fa2b-e445-4481-a386-dc13f951afae,solveo-energies,2025-01-31T15:35:20.280000+00:00,0.628264,43.792972,32390.0,Montestruc-sur-Gers,True,True,False\
SOLVEO ENERGIES,508886132.0,bornes@solveo-energies.com,SOLVEO ENERGIES,bornes@solveo-energies.com,05 32 98 01 58,SOLVEO ENERGIES,DKMONE3785711,1080339.0,Montestruc,Parking public,Rue du 19 mars 1962 32390 Montestruc,32286.0,"[0.628264, 43.792972]",8,DKMONE3785711,3060754.5,150.0,False,False,True,False,False,False,True,True,False,"0,59 \'80/kWh",Acc\'e8s libre,False,24/7,Non accessible,Sans restriction,False,Direct,50040305517165,2024-11-28,Inconnu,2025-01-31,Inconnu,2025-02-01T06:31:42.367000+00:00,676437e9f2aa25e0cf4dcd0e,3263fa2b-e445-4481-a386-dc13f951afae,solveo-energies,2025-01-31T15:35:20.280000+00:00,0.628264,43.792972,32390.0,Montestruc-sur-Gers,True,True,False\
SOLVEO ENERGIES,508886132.0,bornes@solveo-energies.com,SOLVEO ENERGIES,bornes@solveo-energies.com,05 32 98 01 58,SOLVEO ENERGIES,DKMONE3785713,1080339.0,Montestruc,Parking public,Rue du 19 mars 1962 32390 Montestruc,32286.0,"[0.628264, 43.792972]",8,DKMONE3785713,3060754.5,11.0,False,True,False,False,False,False,True,False,False,"0,38 \'80/kWh",Acc\'e8s libre,False,24/7,Accessible mais non r\'e9serv\'e9 PMR,Sans restriction,False,Direct,50040305517165,2024-11-28,Inconnu,2025-01-31,Inconnu,2025-02-01T06:31:42.367000+00:00,676437e9f2aa25e0cf4dcd0e,3263fa2b-e445-4481-a386-dc13f951afae,solveo-energies,2025-01-31T15:35:20.280000+00:00,0.628264,43.792972,32390.0,Montestruc-sur-Gers,True,True,False\
SOLVEO ENERGIES,508886132.0,bornes@solveo-energies.com,SOLVEO ENERGIES,bornes@solveo-energies.com,05 32 98 01 58,SOLVEO ENERGIES,DKMONE3785714,1080339.0,Montestruc,Parking public,Rue du 19 mars 1962 32390 Montestruc,32286.0,"[0.628264, 43.792972]",8,DKMONE3785714,3060754.5,11.0,False,True,False,False,False,False,True,False,False,"0,38 \'80/kWh",Acc\'e8s libre,False,24/7,Non accessible,Sans restriction,False,Direct,50040305517165,2024-11-28,Inconnu,2025-01-31,Inconnu,2025-02-01T06:31:42.367000+00:00,676437e9f2aa25e0cf4dcd0e,3263fa2b-e445-4481-a386-dc13f951afae,solveo-energies,2025-01-31T15:35:20.280000+00:00,0.628264,43.792972,32390.0,Montestruc-sur-Gers,True,True,False\
